"filename", "language", "JavaScript", "JSON", "Ignore", "YAML", "Markdown", "JSON with Comments", "TypeScript JSX", "TypeScript", "Less", "HTML", "CSV", "XML", "Shell Script", "CSS", "Docker", "comment", "blank", "total"
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\AnalysisHistory\info.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\AnalysisHistory\registerMeta.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 4, 83
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\AnalysisHistory\type.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 42
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\AnalysisHistory\util.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 371, 0, 0, 0, 0, 0, 0, 0, 0, 121, 19, 511
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\Assistant\Component.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 194, 0, 0, 0, 0, 0, 0, 0, 0, 27, 25, 246
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\Assistant\Dialog\index.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 15, 84
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\Assistant\Dialog\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\Assistant\Dialog\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 47
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\Assistant\Dialog\list.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\Assistant\Dialog\message.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 46
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\Assistant\Header\index.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 8, 58
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\Assistant\Header\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 34
